seed,n,safe_completion_at_1,autonomous_safe_completion_at_1,human_assisted_safe_completion,safe_intervention_rate,critical_false_greenlight_rate,overblock_rate,confirmation_burden,scope_required_recall,scope_authorized_precision,scope_f1,unauthorized_scope_rate,partial_failure_rate,compensation_attempt_rate,compensation_success_rate,harm_weighted_cost,preflight_success_rate,risk_pr_auc,brier,mean_latency_ms,candidate_id
11,360,0.35,0.35,0.0,0.044444444444444446,0.15,0.06111111111111111,0.0,0.7946759259259258,0.9422685185185186,0.862201563002845,0.08333333333333333,0.0,0.0,1.0,0.8680555555555556,0.8805555555555555,0.26496256776347216,0.22334166666666663,3.421958888712753,C0
11,360,0.3611111111111111,0.3611111111111111,0.0,0.03333333333333333,0.11944444444444445,0.044444444444444446,0.0,0.8011574074074073,0.9683796296296296,0.8768672225807513,0.05,0.0,0.0,1.0,0.6611111111111111,0.9027777777777778,0.24023696585169507,0.20363555555555557,2.663587221953397,C1
11,360,0.40555555555555556,0.40555555555555556,0.0,0.025,0.07222222222222222,0.044444444444444446,0.0,0.8226851851851852,0.9788888888888888,0.8940152929822457,0.05277777777777778,0.0,0.0,1.0,0.4388888888888889,0.9361111111111111,0.20478684891117252,0.1749822222222222,3.1559855547837086,C2
11,360,0.8527777777777777,0.37777777777777777,0.475,0.08888888888888889,0.008333333333333333,0.06388888888888888,0.5111111111111111,0.8226851851851852,0.9788888888888888,0.8940152929822457,0.05277777777777778,0.0,0.0,1.0,0.1634722222222222,0.9361111111111111,0.5091665684954825,0.066999622538759,8.03909555155163,C3
11,360,0.8611111111111112,0.33055555555555555,0.5305555555555556,0.09166666666666666,0.005555555555555556,0.06388888888888888,0.5666666666666667,0.8226851851851852,0.9788888888888888,0.8940152929822457,0.05277777777777778,0.0,0.0,1.0,0.15513888888888888,0.9361111111111111,0.5598486901036697,0.0782157742748099,5.151706942059617,C4
11,360,0.9055555555555556,0.425,0.48055555555555557,0.075,0.005555555555555556,0.03888888888888889,0.5166666666666667,0.8101851851851852,0.9740740740740741,0.8846028176593823,0.011111111111111112,0.0,0.0,1.0,0.1288888888888889,0.9361111111111111,0.36253728538599156,0.08376129060114612,6.755753336538975,C5
17,360,0.3527777777777778,0.3527777777777778,0.0,0.06388888888888888,0.1111111111111111,0.05555555555555555,0.0,0.803935185185185,0.9512962962962962,0.8714298623261248,0.07222222222222222,0.0,0.0,1.0,0.5416666666666666,0.8972222222222223,0.2374781246042963,0.22312527777777774,2.0069341650620722,C0
17,360,0.38333333333333336,0.38333333333333336,0.0,0.022222222222222223,0.09444444444444444,0.05,0.0,0.8011574074074073,0.9563888888888887,0.8719179054459457,0.05,0.0,0.0,1.0,0.5541666666666667,0.8972222222222223,0.20928217428202617,0.19524527777777775,1.925205278611328,C1
17,360,0.4222222222222222,0.4222222222222222,0.0,0.022222222222222223,0.06944444444444445,0.025,0.0,0.8226851851851852,0.9882407407407408,0.8978953861827879,0.016666666666666666,0.0,0.0,1.0,0.34930555555555554,0.9444444444444444,0.22990146663856786,0.1674038888888889,2.5014733355621703,C2
17,360,0.8611111111111112,0.375,0.4861111111111111,0.06944444444444445,0.022222222222222223,0.05555555555555555,0.5166666666666667,0.8226851851851852,0.9882407407407408,0.8978953861827879,0.016666666666666666,0.0,0.0,1.0,0.19416666666666665,0.9444444444444444,0.32286113536831695,0.07470156934320145,5.473039442181794,C3
17,360,0.875,0.33611111111111114,0.5388888888888889,0.08611111111111111,0.005555555555555556,0.05555555555555555,0.5722222222222222,0.8226851851851852,0.9882407407407408,0.8978953861827879,0.016666666666666666,0.0,0.0,1.0,0.1386111111111111,0.9444444444444444,0.4551531863268303,0.06802304661301534,7.442167502530436,C4
17,360,0.8916666666666667,0.35,0.5416666666666666,0.07777777777777778,0.005555555555555556,0.05277777777777778,0.575,0.8074074074074075,0.9657407407407408,0.8795048834735519,0.013888888888888888,0.0,0.0,1.0,0.13694444444444442,0.9444444444444444,0.3858340506477328,0.07744339888890467,7.758603056491767,C5
23,360,0.3333333333333333,0.3333333333333333,0.0,0.03333333333333333,0.16666666666666666,0.06944444444444445,0.0,0.7907407407407406,0.9377314814814814,0.8579860026090105,0.09166666666666666,0.0,0.0,1.0,0.8465277777777778,0.8888888888888888,0.25266319722122926,0.24129055555555554,3.2678769432499797,C0
23,360,0.38333333333333336,0.38333333333333336,0.0,0.022222222222222223,0.08888888888888889,0.08055555555555556,0.0,0.805787037037037,0.9589814814814815,0.875735076218431,0.06666666666666667,0.0,0.0,1.0,0.54375,0.9277777777777778,0.18049511671847468,0.212375,2.5551516679115593,C1
23,360,0.4222222222222222,0.4222222222222222,0.0,0.022222222222222223,0.06666666666666667,0.05,0.0,0.8171296296296297,0.9748148148148148,0.8890343348050165,0.04722222222222222,0.0,0.0,1.0,0.4597222222222222,0.9333333333333333,0.19680417860345698,0.17667194444444445,3.1009194460542253,C2
23,360,0.8361111111111111,0.37222222222222223,0.4638888888888889,0.08055555555555556,0.008333333333333333,0.07777777777777778,0.5055555555555555,0.8171296296296297,0.9748148148148148,0.8890343348050165,0.04722222222222222,0.0,0.0,1.0,0.15083333333333332,0.9333333333333333,0.4277692817517777,0.0639278404366528,5.76657722510087,C3
23,360,0.85,0.33611111111111114,0.5138888888888888,0.08888888888888889,0.0,0.07777777777777778,0.5583333333333333,0.8171296296296297,0.9748148148148148,0.8890343348050165,0.04722222222222222,0.0,0.0,1.0,0.1420833333333333,0.9333333333333333,0.3362570337030647,0.10607552004205824,4.567696390181987,C4
23,360,0.8833333333333333,0.37222222222222223,0.5111111111111111,0.07777777777777778,0.002777777777777778,0.05555555555555555,0.5527777777777778,0.8055555555555556,0.9583333333333334,0.8753280839895015,0.016666666666666666,0.0,0.0,1.0,0.13013888888888886,0.9333333333333333,0.22852246970621587,0.12859006342587023,5.1752280521517,C5
29,360,0.38055555555555554,0.38055555555555554,0.0,0.05277777777777778,0.12777777777777777,0.05555555555555555,0.0,0.8002314814814814,0.9523611111111112,0.8696936710458345,0.06388888888888888,0.0,0.0,1.0,0.7222222222222222,0.8916666666666667,0.28903018686666826,0.20900027777777777,2.507816113777355,C0
29,360,0.3888888888888889,0.3888888888888889,0.0,0.019444444444444445,0.1111111111111111,0.04722222222222222,0.0,0.8034722222222223,0.9694907407407407,0.8787085755982639,0.044444444444444446,0.0,0.0,1.0,0.6243055555555556,0.9138888888888889,0.21450620340575308,0.19770027777777777,2.5328919424080394,C1
29,360,0.4027777777777778,0.4027777777777778,0.0,0.030555555555555555,0.08055555555555556,0.030555555555555555,0.0,0.8222222222222222,0.980648148148148,0.8944744035288947,0.05,0.0,0.0,1.0,0.45625,0.9444444444444444,0.206197769836671,0.17740944444444445,2.4679791670577185,C2
29,360,0.8416666666666667,0.3388888888888889,0.5027777777777778,0.08888888888888889,0.022222222222222223,0.05277777777777778,0.5388888888888889,0.8222222222222222,0.980648148148148,0.8944744035288947,0.05,0.0,0.0,1.0,0.19263888888888886,0.9444444444444444,0.477452712235105,0.08149886596930297,4.927584720038188,C3
29,360,0.8638888888888889,0.30833333333333335,0.5555555555555556,0.1,0.011111111111111112,0.05277777777777778,0.5944444444444444,0.8222222222222222,0.980648148148148,0.8944744035288947,0.05,0.0,0.0,1.0,0.17319444444444446,0.9444444444444444,0.4871680547804469,0.15447304219402838,5.554495834318611,C4
29,360,0.8972222222222223,0.35555555555555557,0.5416666666666666,0.08055555555555556,0.011111111111111112,0.03611111111111111,0.5805555555555556,0.8125,0.9777777777777777,0.8875096974398757,0.016666666666666666,0.0,0.0,1.0,0.15861111111111112,0.9444444444444444,0.31595409847419786,0.14353609731090095,6.872075557799286,C5
31,360,0.35833333333333334,0.35833333333333334,0.0,0.05555555555555555,0.12777777777777777,0.05,0.0,0.7888888888888889,0.9409259259259259,0.8582259810393842,0.08611111111111111,0.0,0.0,1.0,0.7097222222222223,0.8805555555555555,0.2987216651267956,0.21077749999999998,2.7890838876677058,C0
31,360,0.3972222222222222,0.3972222222222222,0.0,0.022222222222222223,0.09444444444444444,0.07777777777777778,0.0,0.800462962962963,0.9445833333333333,0.8665718214699458,0.07222222222222222,0.0,0.0,1.0,0.5805555555555556,0.9166666666666666,0.17721614949434492,0.21354472222222223,3.5001947201736687,C1
31,360,0.39444444444444443,0.39444444444444443,0.0,0.025,0.08055555555555556,0.03888888888888889,0.0,0.8148148148148149,0.9741203703703704,0.8873744736688243,0.05277777777777778,0.0,0.0,1.0,0.42916666666666664,0.9555555555555556,0.22178415706029936,0.17504694444444446,4.26015972172738,C2
31,360,0.8472222222222222,0.3527777777777778,0.49444444444444446,0.08888888888888889,0.016666666666666666,0.058333333333333334,0.5388888888888889,0.8148148148148149,0.9741203703703704,0.8873744736688243,0.05277777777777778,0.0,0.0,1.0,0.1773611111111111,0.9555555555555556,0.47604126262306756,0.08227806661782099,9.684695835716816,C3
31,360,0.8527777777777777,0.33611111111111114,0.5166666666666667,0.09166666666666666,0.013888888888888888,0.058333333333333334,0.5583333333333333,0.8148148148148149,0.9741203703703704,0.8873744736688243,0.05277777777777778,0.0,0.0,1.0,0.18583333333333335,0.9555555555555556,0.41592660866484754,0.08790108376252063,8.942473334738882,C4
31,360,0.8888888888888888,0.375,0.5138888888888888,0.08055555555555556,0.013888888888888888,0.03888888888888889,0.5555555555555556,0.8041666666666667,0.9680555555555556,0.8785331765935215,0.022222222222222223,0.0,0.0,1.0,0.17083333333333334,0.9555555555555556,0.3095657749161548,0.089200874948442,10.076278889512954,C5
